set,label,activity,mobility,complexity,delta_power,theta_power,alpha_power,beta_power,gamma_power,spectral_entropy,line_length,condition,target,cluster,pc1,pc2
Z,0,1813.2097260951996,0.33598488906998963,2.1799388729632057,610.91851861493,346.81945475893343,484.39239687984116,189.31213607087537,12.19232518812568,4.5058368837387714,46686.0,non-seizure,0,0,-60897.151903054306,-401.69929735310507
Z,0,2383.044921875,0.39277726308619426,1.9465295096820214,673.7054510374405,403.2680313753533,654.0235497962879,511.78446000542425,21.89900976574108,4.766602290219079,61038.0,non-seizure,0,0,-47875.916082445554,-5694.5407206292075
Z,0,2222.001189649105,0.33771693424673366,2.1994110425747126,837.3745431415205,269.0002762613124,642.7440290934344,224.11268015678297,13.330849072810828,4.3998896208525915,51191.0,non-seizure,0,0,-56714.112690291986,-1881.406254267422
Z,0,2216.009763479233,0.49442000999684793,2.1229994381354897,499.1712174060473,374.0363974220623,535.150195397446,516.7805860305978,61.239642392439364,4.967596182311435,74991.0,non-seizure,0,0,-35599.820217554734,-11393.315961081476
Z,0,2017.4863278865814,0.3680302759786602,2.369084873776388,688.7262546999416,236.73571381079722,551.6269777590968,259.0244987109785,24.55446592694144,4.451513240112503,52862.0,non-seizure,0,0,-55334.431225097745,-2750.323817402208
Z,0,2027.2435948848724,0.3643416947773217,2.111725337751925,443.3114629457521,244.98050331054458,512.6238490648362,309.3459981968822,16.374519673388306,4.613801751603892,52734.0,non-seizure,0,0,-55456.78396525704,-2765.133599595927
Z,0,2140.3208078742027,0.42210036591399336,1.8685706289959805,483.57594126857254,346.5801813016203,589.1738202975247,461.8696172998857,24.10214095799736,4.858051992095024,63560.0,non-seizure,0,0,-45772.27942685222,-6928.393509842193
Z,0,1046.260558128357,0.39447625986553947,1.9911749331627173,293.4952855848855,146.11718128357157,315.9047134825802,187.17546346463513,11.47638173034226,4.6744133643618815,41752.0,non-seizure,0,0,-65650.16311344747,829.9632543617226
Z,0,991.121639251709,0.31080485144617087,3.122132959695387,517.5536439752854,197.50005382272664,93.50706660559035,94.727908557991,11.94880039963863,4.248259214910607,32064.0,non-seizure,0,0,-74265.16187230882,4702.200697728396
Z,0,1910.0139150619507,0.2632934578180532,3.004805487323645,853.1494295548542,195.55050885732834,174.3576145890612,162.30276751080078,8.286902764295112,3.904851911071308,36716.0,non-seizure,0,0,-69724.52440832768,3561.178729788451
Z,0,1475.8988413214684,0.31469544644041053,2.913390390697326,644.8885149029705,385.15259185033,136.0643527065201,160.62059970358092,15.165032138700411,4.443431569515942,39546.0,non-seizure,0,0,-67386.36383200323,2192.8079220924938
